PV_MWdc,BESS_MW,NG_MW,Total_Cost_$,Deficit_kWh,SuccessRate
1351.3851335241466,1197.420423063113,37.05890193212032,362000000.0,284.973998708119,0.9959239130434784
149.4784521366457,121.88326702076483,4.945425254277998,25500000.0,118368.8218245512,0.3944746376811594
122.74284713454034,132.10806955913324,1.9942187727324088,25500000.0,118368.8218245512,0.3944746376811594
238.5811467898926,131.02276648003055,4.966353745311769,36500000.0,105869.8480561131,0.4664855072463768
149.4784521366457,115.34673027315671,9.374483444856821,34000000.0,105108.551377236,0.4053442028985507
408.6316270007592,1131.4161528046789,0.42510041123330833,203500000.0,13925.49776578488,0.9035326086956522
330.40520699207303,1123.595150413022,0.6977283058201342,192500000.0,18615.26118662769,0.8777173913043478
894.1331916776642,1154.4476465182531,36.90800061029037,307000000.0,856.7377426205117,0.9895833333333334
800.8910814480395,1151.5817190349458,32.21016181495843,287500000.0,1380.818114644036,0.9850543478260868
551.3187427650888,1164.794361816037,15.413599844554703,257000000.0,2930.498529357773,0.9719202898550724
452.107991315881,1191.389941038446,15.505527190697043,246000000.0,4132.622142866732,0.9624094202898552
320.06213613779113,424.5389604567164,4.978378666165057,91000000.0,74975.94232190112,0.6177536231884058
407.32559261736725,1150.2213143979345,1.2957571665652239,218000000.0,8707.7837620992,0.9356884057971014
118.84310012967907,124.83517166311663,21.342992315438586,42500000.0,92093.02457497624,0.4157608695652174
353.3132215433775,723.1902720224871,2.222286440070639,145500000.0,46171.36138481813,0.75
312.4555701642529,583.1594145764682,12.618726465735168,128500000.0,51486.80025398347,0.7015398550724637
232.15010927561002,579.1852550588144,0.1443271707028888,109000000.0,64913.30834608441,0.6539855072463768
373.8663294735517,1159.5728785717763,12.737507127209145,226500000.0,7354.012727423969,0.9411231884057972
503.019370461039,1168.50914819468,1.2770335435456293,229000000.0,5972.837334495007,0.9547101449275364
453.60200719187566,1199.6474690066234,11.55531605822263,237500000.0,5009.554386499994,0.9583333333333334
160.09142497276585,128.63876783305898,35.9977654781134,70500000.0,60487.43222773338,0.5054347826086957
405.24604341741406,704.4733123645238,12.53864319728342,154000000.0,40739.3998304719,0.7567934782608695
304.68488842503916,861.6826424451501,36.79647710146162,197500000.0,17937.69469553956,0.8355978260869565
274.4494897171084,623.6550929145261,27.666295092418594,145500000.0,38594.14173826167,0.7155797101449275
422.1218804545654,310.0288209483051,17.870302401406303,104500000.0,62883.22336528513,0.6186594202898551
295.888459179225,723.1902720224871,0.10818916405604995,134500000.0,49964.84723231898,0.7314311594202898
360.5156050877318,407.63837124009575,34.95611177943968,127500000.0,48408.0548293926,0.6634963768115942
337.11278448841705,109.14201585095459,4.8420106488559504,47500000.0,100584.5060770011,0.4981884057971014
100.59726413344778,117.8832290624743,33.98506217790863,51000000.0,79367.19483881892,0.4316123188405797
174.05868584072562,115.34673027315671,9.374483444856821,45000000.0,94221.56867560618,0.4773550724637681
232.15010927561002,690.3885664247672,0.07257755059628401,123500000.0,57100.42590497343,0.6884057971014492
323.3682489888753,917.6446933701085,5.204764662477588,172000000.0,29640.40469955076,0.8129528985507246
274.51144815180436,407.63837124009575,27.766958054730736,116500000.0,50378.66092994402,0.6440217391304348
503.019370461039,1121.7759991225257,1.2770335435456293,214500000.0,10928.96782428475,0.9198369565217392
190.9933901361777,100.88888171424883,13.504546900460841,45000000.0,94221.56867560618,0.4773550724637681
438.0155151536264,1144.9666660490939,12.687664846673993,212000000.0,11841.33219266441,0.9071557971014492
383.9913370665099,992.7018001436545,1.736349162112301,189000000.0,21429.51601102626,0.8654891304347826
363.244917382187,598.1389252509163,3.9449129150569355,131000000.0,54744.16034443324,0.7119565217391305
273.61327894894737,1141.8926369093483,12.687664846673993,201000000.0,15989.04347364208,0.8854166666666666
503.019370461039,218.19709814927103,35.4332570477268,118000000.0,50347.59875193697,0.6014492753623188
177.2817767198823,380.3898555223439,4.845465432283088,80000000.0,80903.92572634801,0.5810688405797102
409.2644663493221,628.8384979608708,27.666295092418594,156500000.0,36256.96741065185,0.7327898550724637
312.272656547443,796.1722651420434,23.944156517855088,166000000.0,31980.217732801,0.7835144927536232
360.4536466530433,655.7539706240989,34.85544871526708,171000000.0,30280.67217723271,0.7703804347826086
408.60628878723423,115.72103811668926,2.093506724990429,58500000.0,97488.64563230932,0.5149456521739131
554.5390277406112,1199.9430470108057,2.2491713248978336,240000000.0,4360.633742897356,0.9646739130434784
310.3536781561176,210.41562263372214,33.751335787399974,87500000.0,62392.68400922146,0.5656702898550725
310.3536781561176,185.86131820367348,36.88716051883207,96000000.0,52898.64920317988,0.573822463768116
828.0897911683993,1177.6711307021792,5.1769023447000135,270500000.0,2232.448174806334,0.9769021739130436
196.1716133406542,466.5747325945532,33.71199257457296,120000000.0,48432.23400478807,0.6517210144927537
273.791312158569,115.72103811668926,0.8086197194110909,47500000.0,100584.5060770011,0.4981884057971014
240.52650091510537,184.44713018918193,12.549427451326752,59500000.0,86636.63243935016,0.5172101449275363
367.44367752345084,347.37360154528176,6.370637234980033,96000000.0,71540.10495104844,0.6028079710144928
317.4184310773578,482.68540093679536,2.614348873794656,105500000.0,66510.644145122,0.6544384057971014
431.224213042911,912.6287527724234,11.55531605822263,183000000.0,25747.42393081283,0.832427536231884
323.3682489888753,930.6751183556223,4.997161034667787,163500000.0,33844.05001581169,0.8057065217391305
383.9913370665099,992.7018001436545,0.6882193056075597,189000000.0,21429.51601102626,0.8654891304347826
118.84310012967907,138.6233078200978,21.393218685802886,42500000.0,92093.02457497624,0.4157608695652174
106.47891443532474,101.42313325884338,36.17155138411265,59500000.0,66932.79370761238,0.4429347826086957
443.39762862009496,157.46564181477623,20.209700932434494,90000000.0,69832.62375144672,0.5788043478260869
298.1200971774101,124.28511732652113,20.939726932449002,64500000.0,78869.47637694857,0.5163043478260869
677.2824271990427,1197.2782460975798,32.72463277728709,276500000.0,1732.012784092246,0.9796195652173914
252.13348967568498,297.4945331158496,0.780956864312349,76500000.0,83511.7369262153,0.5783514492753623
408.7643245676204,628.8384979608708,30.171302953097406,156500000.0,36256.96741065185,0.7327898550724637
304.6764761627729,582.8150911736117,35.455831565136684,154000000.0,32461.96716998336,0.7282608695652174
362.12555665345764,496.8115259497896,7.21272905604576,125000000.0,56164.02016320609,0.6784420289855072
326.91115801299867,466.5747325945532,33.71199257457296,131000000.0,44420.46656004035,0.6798007246376812
439.9939585680393,423.3682377947273,1.5504300447837365,102000000.0,71878.99532162255,0.6326992753623188
313.26518649242155,961.1506753748613,9.19344526668775,186500000.0,22550.08492889487,0.8496376811594203
163.52724796503514,333.00267818735,3.9359331102760713,65500000.0,89068.66274125915,0.5457427536231884
255.43260343947452,100.73323388675271,35.667815711500225,81500000.0,57930.30002500876,0.5339673913043478
256.07390152499346,959.0689883326689,10.926027264695044,186500000.0,22550.08492889487,0.8496376811594203
323.3682489888753,917.6446933701085,3.428655725439234,163500000.0,33844.05001581169,0.8057065217391305
828.0897911683993,1159.5049114690833,35.469038270422885,296000000.0,1067.624819199336,0.9868659420289856
268.74895261751266,1162.4132190056905,4.958154812461929,207000000.0,13167.75475492165,0.9098731884057972
385.93021079846477,508.22026418504277,27.666295092418594,142000000.0,42315.31937003692,0.6942934782608695
372.96966057501936,507.7326469773825,33.0123835654377,142000000.0,42315.31937003692,0.6942934782608695
107.07887869907226,100.51287594140616,37.090510132116435,59500000.0,66932.79370761238,0.4429347826086957
250.40416056303806,708.4868592355492,36.36975492369343,168500000.0,27536.07566849965,0.7640398550724637
986.630192212227,1154.7056083245354,36.90800061029037,318000000.0,695.1357138813667,0.991394927536232
1159.6937718555291,1159.1081994011754,33.37525055355572,331500000.0,545.7676244787259,0.9923007246376812
174.0958160220237,114.88914477821797,32.64599502509277,62000000.0,71525.63041623142,0.4945652173913043
1200.1182455135447,1193.4986535262235,37.43414524616341,340000000.0,388.1745885177396,0.9936594202898552
956.6357772622712,1154.4476465182531,36.90800061029037,318000000.0,695.1357138813667,0.991394927536232
1309.0655144342018,1197.420423063113,37.05890193212032,351000000.0,334.008463747756,0.9945652173913044
837.1513344747555,1163.3949087391863,4.643126441922511,262000000.0,2767.666221646241,0.9732789855072465
474.42725701486563,1112.2510431356363,3.2094334983259447,214500000.0,10928.96782428475,0.9198369565217392
1287.1179132593745,1198.2164756806415,39.62347641714963,351000000.0,334.008463747756,0.9945652173913044
209.84789046053612,226.31703122554154,0.10484098447671997,51000000.0,97388.47774986524,0.5072463768115942
1106.6465562837748,1195.6270621120511,36.7991282044554,329000000.0,551.8407731027221,0.9927536231884058
342.17986971456065,478.1163193786252,10.396583591900043,114000000.0,58983.82385346784,0.6625905797101449
252.50770274394122,758.4528421815185,26.73682352714252,174500000.0,27273.4673287188,0.7903079710144928
100.59726413344778,117.8832290624743,33.92743085706245,51000000.0,79367.19483881892,0.4316123188405797
325.9694381608032,184.51081288816454,19.24426781259758,79000000.0,72076.50669049438,0.5579710144927537
438.845857177378,735.8668420768178,36.387472773099205,179500000.0,25337.74964198567,0.7807971014492754
307.68647698486245,724.241057354044,19.544966111604204,151500000.0,38412.598212287,0.7459239130434783
437.4545970151308,415.42222810539744,1.5448803894179557,102000000.0,71878.99532162255,0.6326992753623188
415.30578813619996,186.644049340992,2.6692394536408326,73000000.0,88952.08985274812,0.5548007246376812
305.500876818661,115.34673027315671,9.291231425753423,56000000.0,89632.12315795133,0.5095108695652174
241.47506396807282,137.39808118725202,0.607753999260197,36500000.0,105869.8480561131,0.4664855072463768
